福建(人)_Fujian,江西(人)_Jiangxi,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
3501000.0000,4095000.0000
3511000.0000,4107000.0000
3519000.0000,4082000.0000
3577000.0000,4094000.0000
3561000.0000,4062000.0000
3560000.0000,4047000.0000
3575000.0000,4032000.0000
3430000.0000,3304000.0000
3410000.0000,3269000.0000
3403000.0000,3219000.0000
3404000.0000,3243000.0000
3289000.0000,3141000.0000
3270000.0000,3116000.0000
3263000.0000,3095000.0000
3259000.0000,3075000.0000
3259000.0000,2994000.0000
3239000.0000,2975000.0000
3226000.0000,2951000.0000
3218000.0000,2943000.0000
3237000.0000,2873000.0000
3221000.0000,2847000.0000
3217000.0000,2834000.0000
3206000.0000,2812000.0000
3254000.0000,2708000.0000
3255000.0000,2670000.0000
3293000.0000,2668000.0000
3315000.0000,2673000.0000
3446000.0000,2677000.0000
3411000.0000,2696000.0000
3427000.0000,2696000.0000
3440000.0000,2702000.0000
3777000.0000,2714000.0000
3737600.0000,2699600.0000
3780700.0000,2696900.0000
3814200.0000,2705400.0000
4001000.0000,2756000.0000
3959000.0000,2737000.0000
3985200.0000,2751500.0000
4007000.0000,2767000.0000
4274000.0000,2828000.0000
4230000.0000,2820000.0000
4261000.0000,2830000.0000
4295000.0000,2866000.0000
,
4447000.0000,2847000.0000
4529000.0000,2866000.0000
4590000.0000,2879000.0000
4587000.0000,2892000.0000
4505500.0000,2880400.0000
4520700.0000,2900300.0000
4581800.0000,2899500.0000
4739600.0000,2896300.0000
4717700.0000,2929600.0000
4774300.0000,2955300.0000
4850200.0000,2985600.0000
5071400.0000,2974000.0000
4984700.0000,2994400.0000
5067500.0000,3064300.0000
5119800.0000,3123800.0000
5963333.0000,3443984.0000
5678000.0000,3424468.0000
5757037.0000,3481070.0000
5853268.0000,3563833.0000
,
,
5119788.0000,3123837.0000
,
6019373.0000,3700474.0000
6212547.0000,4208196.0000
6313007.0000,4158239.0000
6440257.0000,4388850.0000
5977280.0000,4220196.0000
6119176.0000,4371270.0000
6206714.0000,4618707.0000
6546406.0000,4652616.0000
